"ID" "Year" "LAI_Q75" "Municipality"
"Kelme.2004" 4 2004 3.49702272727273 "Kelme"
"Pakruojis.2004" 5 2004 3.2495504332189 "Pakruojis"
"Radviliskis.2004" 6 2004 3.26923102844049 "Radviliskis"
"Alytus.2004" 7 2004 3.40108534597718 "Alytus"
"Druskininkai.2004" 8 2004 2.42897727272727 "Druskininkai"
"Lazdijai.2004" 9 2004 3.05922684674752 "Lazdijai"
"Varena.2004" 10 2004 3.1874144799515 "Varena"
"Birstonas.2004" 11 2004 2.6309375 "Birstonas"
"Jonava.2004" 12 2004 3.42889263304671 "Jonava"
"Kedainiai.2004" 13 2004 3.39167863203237 "Kedainiai"
"Kaisiadorys.2004" 14 2004 3.58444874631268 "Kaisiadorys"
"Kaunas.2004" 15 2004 3.3681125643523 "Kaunas"
"Prienai.2004" 16 2004 3.45465934684685 "Prienai"
"Raseiniai.2004" 17 2004 3.20516759776536 "Raseiniai"
"Silute.2004" 18 2004 3.58849046853468 "Silute"
"Klaipeda.2004" 19 2004 3.28701873935264 "Klaipeda"
"Kretinga.2004" 20 2004 3.4522707279525 "Kretinga"
"Neringa.2004" 21 2004 2.30309523809524 "Neringa"
"Palanga.2004" 22 2004 3.33896011396011 "Palanga"
"Skuodas.2004" 23 2004 3.25712826333712 "Skuodas"
"Sakiai.2004" 24 2004 3.5367367612128 "Sakiai"
"Marijampole.2004" 25 2004 3.45990242261104 "Marijampole"
"Vilkaviskis.2004" 26 2004 3.41222904932582 "Vilkaviskis"
"Birzai.2004" 27 2004 3.5501278678942 "Birzai"
"Kupiskis.2004" 28 2004 3.50970718010429 "Kupiskis"
"Panevezys.2004" 29 2004 3.37743237887645 "Panevezys"
"Pasvalys.2004" 30 2004 3.2570996978852 "Pasvalys"
"Rokiskis.2004" 31 2004 3.63513201119358 "Rokiskis"
"Silale.2004" 32 2004 3.85280718336484 "Silale"
"Jurbarkas.2004" 33 2004 3.56574300071788 "Jurbarkas"
"Taurage.2004" 34 2004 3.74726735598227 "Taurage"
"Mazeikiai.2004" 35 2004 3.07633995302157 "Mazeikiai"
"Plunge.2004" 36 2004 3.79418380462725 "Plunge"
"Telsiai.2004" 37 2004 3.60365650128964 "Telsiai"
"Anyksciai.2004" 38 2004 3.66770833333333 "Anyksciai"
"Ignalina.2004" 39 2004 3.68972865123703 "Ignalina"
"Moletai.2004" 40 2004 3.63095393662202 "Moletai"
"Utena.2004" 41 2004 3.96550009125753 "Utena"
"Zarasai.2004" 42 2004 3.87055181205609 "Zarasai"
"Salcininkai.2004" 43 2004 3.44305458849742 "Salcininkai"
"Sirvintos.2004" 44 2004 3.72083024462565 "Sirvintos"
"Svencionys.2004" 45 2004 3.48047694251421 "Svencionys"
"Trakai.2004" 46 2004 3.46427220555628 "Trakai"
"Ukmerge.2004" 47 2004 3.59413886733902 "Ukmerge"
"Vilnius.2004" 48 2004 3.59711580898579 "Vilnius"
"Siauliai.2005" 1 2005 3.64431186283596 "Siauliai"
"Akmene.2005" 2 2005 3.28609057301294 "Akmene"
"Joniskis.2005" 3 2005 3.48679921773142 "Joniskis"
"Kelme.2005" 4 2005 3.75372077922078 "Kelme"
"Pakruojis.2005" 5 2005 3.59503433055419 "Pakruojis"
"Radviliskis.2005" 6 2005 3.50086938940558 "Radviliskis"
"Alytus.2005" 7 2005 3.72792265520818 "Alytus"
"Druskininkai.2005" 8 2005 2.65255681818182 "Druskininkai"
"Lazdijai.2005" 9 2005 3.52105154355017 "Lazdijai"
"Varena.2005" 10 2005 3.5896228457608 "Varena"
"Birstonas.2005" 11 2005 3.1928125 "Birstonas"
"Jonava.2005" 12 2005 3.94460260283523 "Jonava"
"Kedainiai.2005" 13 2005 3.85748270460775 "Kedainiai"
"Kaisiadorys.2005" 14 2005 4.15160859144543 "Kaisiadorys"
"Kaunas.2005" 15 2005 3.8368825657437 "Kaunas"
"Prienai.2005" 16 2005 3.96646959459459 "Prienai"
"Raseiniai.2005" 17 2005 3.47370111731844 "Raseiniai"
"Silute.2005" 18 2005 3.83165767110703 "Silute"
"Klaipeda.2005" 19 2005 3.45228279386712 "Klaipeda"
"Kretinga.2005" 20 2005 3.54269848251594 "Kretinga"
"Neringa.2005" 21 2005 2.52386904761905 "Neringa"
"Palanga.2005" 22 2005 3.54145299145299 "Palanga"
"Skuodas.2005" 23 2005 3.22932463110102 "Skuodas"
"Sakiai.2005" 24 2005 3.96813609054073 "Sakiai"
"Marijampole.2005" 25 2005 3.95977119784657 "Marijampole"
"Vilkaviskis.2005" 26 2005 3.90703191670934 "Vilkaviskis"
"Birzai.2005" 27 2005 3.77784232061961 "Birzai"
"Kupiskis.2005" 28 2005 3.6260980746089 "Kupiskis"
"Panevezys.2005" 29 2005 3.80267759833548 "Panevezys"
"Pasvalys.2005" 30 2005 3.67839459550185 "Pasvalys"
"Rokiskis.2005" 31 2005 3.81662002676725 "Rokiskis"
"Silale.2005" 32 2005 4.26504253308129 "Silale"
"Jurbarkas.2005" 33 2005 3.67155419956927 "Jurbarkas"
"Taurage.2005" 34 2005 4.07880816100443 "Taurage"
"Mazeikiai.2005" 35 2005 3.02534699978646 "Mazeikiai"
"Plunge.2005" 36 2005 4.1390970437018 "Plunge"
"Telsiai.2005" 37 2005 3.77649066909422 "Telsiai"
"Anyksciai.2005" 38 2005 3.84557519436346 "Anyksciai"
"Ignalina.2005" 39 2005 4.14307262569832 "Ignalina"
"Moletai.2005" 40 2005 3.90855521071545 "Moletai"
"Utena.2005" 41 2005 4.25435298412119 "Utena"
"Zarasai.2005" 42 2005 4.27602440356948 "Zarasai"
"Salcininkai.2005" 43 2005 3.79875017407046 "Salcininkai"
"Sirvintos.2005" 44 2005 3.99421793921423 "Sirvintos"
"Svencionys.2005" 45 2005 3.87028111181301 "Svencionys"
"Trakai.2005" 46 2005 3.92352941176471 "Trakai"
"Ukmerge.2005" 47 2005 3.96641194724593 "Ukmerge"
"Vilnius.2005" 48 2005 3.87280210080325 "Vilnius"
"Siauliai.2006" 1 2006 3.31389017608897 "Siauliai"
"Akmene.2006" 2 2006 3.25958102279729 "Akmene"
"Joniskis.2006" 3 2006 3.1097737008754 "Joniskis"
"Kelme.2006" 4 2006 3.38765584415584 "Kelme"
"Pakruojis.2006" 5 2006 2.754340362923 "Pakruojis"
"Radviliskis.2006" 6 2006 3.05862312980186 "Radviliskis"
"Alytus.2006" 7 2006 3.29543636094236 "Alytus"
"Druskininkai.2006" 8 2006 2.56590909090909 "Druskininkai"
"Lazdijai.2006" 9 2006 2.96184881477398 "Lazdijai"
"Varena.2006" 10 2006 3.24276651944228 "Varena"
"Birstonas.2006" 11 2006 2.891875 "Birstonas"
"Jonava.2006" 12 2006 3.38794445735533 "Jonava"
"Kedainiai.2006" 13 2006 3.13051168254797 "Kedainiai"
"Kaisiadorys.2006" 14 2006 3.68028207964602 "Kaisiadorys"
"Kaunas.2006" 15 2006 3.33151175733964 "Kaunas"
"Prienai.2006" 16 2006 3.4040868993994 "Prienai"
"Raseiniai.2006" 17 2006 3.14162011173184 "Raseiniai"
"Silute.2006" 18 2006 3.36319763435921 "Silute"
"Klaipeda.2006" 19 2006 3.16134156729131 "Klaipeda"
"Kretinga.2006" 20 2006 3.2597646800088 "Kretinga"
"Neringa.2006" 21 2006 2.36095238095238 "Neringa"
"Palanga.2006" 22 2006 3.41866096866097 "Palanga"
