"ID" "Year" "LAI_Med" "Municipality"
"Kelme.2004" 4 2004 2.58929449838188 "Kelme"
"Pakruojis.2004" 5 2004 2.34847197254453 "Pakruojis"
"Radviliskis.2004" 6 2004 2.4406283566058 "Radviliskis"
"Alytus.2004" 7 2004 2.72967937608319 "Alytus"
"Druskininkai.2004" 8 2004 1.83191489361702 "Druskininkai"
"Lazdijai.2004" 9 2004 2.43213906581741 "Lazdijai"
"Varena.2004" 10 2004 2.57917708962305 "Varena"
"Birstonas.2004" 11 2004 2.1825 "Birstonas"
"Jonava.2004" 12 2004 2.52923289564616 "Jonava"
"Kedainiai.2004" 13 2004 2.53403175429464 "Kedainiai"
"Kaisiadorys.2004" 14 2004 2.86427142077497 "Kaisiadorys"
"Kaunas.2004" 15 2004 2.42329296573048 "Kaunas"
"Prienai.2004" 16 2004 2.82235294117647 "Prienai"
"Raseiniai.2004" 17 2004 2.42559689061632 "Raseiniai"
"Silute.2004" 18 2004 2.77721943048576 "Silute"
"Klaipeda.2004" 19 2004 2.527251995439 "Klaipeda"
"Kretinga.2004" 20 2004 2.76930476606909 "Kretinga"
"Neringa.2004" 21 2004 1.81622222222222 "Neringa"
"Palanga.2004" 22 2004 2.31156626506024 "Palanga"
"Skuodas.2004" 23 2004 2.54857013163867 "Skuodas"
"Sakiai.2004" 24 2004 2.60016685205784 "Sakiai"
"Marijampole.2004" 25 2004 2.6968296256827 "Marijampole"
"Vilkaviskis.2004" 26 2004 2.55026329199932 "Vilkaviskis"
"Birzai.2004" 27 2004 2.8547254987622 "Birzai"
"Kupiskis.2004" 28 2004 2.81965283320032 "Kupiskis"
"Panevezys.2004" 29 2004 2.6291625904911 "Panevezys"
"Pasvalys.2004" 30 2004 2.37145494210438 "Pasvalys"
"Rokiskis.2004" 31 2004 2.8508313253012 "Rokiskis"
"Silale.2004" 32 2004 2.92294772598604 "Silale"
"Jurbarkas.2004" 33 2004 2.76631790167694 "Jurbarkas"
"Taurage.2004" 34 2004 2.82640264026403 "Taurage"
"Mazeikiai.2004" 35 2004 2.2671500630517 "Mazeikiai"
"Plunge.2004" 36 2004 2.95398117527347 "Plunge"
"Telsiai.2004" 37 2004 2.71136160047775 "Telsiai"
"Anyksciai.2004" 38 2004 2.91031487513572 "Anyksciai"
"Ignalina.2004" 39 2004 2.76256067961165 "Ignalina"
"Moletai.2004" 40 2004 2.83680904522613 "Moletai"
"Utena.2004" 41 2004 3.12639013052029 "Utena"
"Zarasai.2004" 42 2004 2.92029256676306 "Zarasai"
