"Municipality" "Year" "ID" "LAI_Avg" "LAI_Med" "LAI_Q75" "LAI_Q90" "LAI_Max" "Forest_Coverage"
"24" "Anyksciai" 2005 38 3.11150766608675 2.8144649535529 3.84557519436346 4.48626700693016 5.20817541302235 30.6
"25" "Anyksciai" 2006 38 2.63965737776962 2.47876704065629 3.20425170068027 3.7816302190485 4.44465500485909 30.6
"26" "Anyksciai" 2007 38 3.22261566425287 2.95588128845458 3.90105685131195 4.58954203245823 5.38669825072886 30.6
"27" "Anyksciai" 2008 38 2.84599778080008 2.66339727349499 3.39896440719145 3.9559815313772 4.65352283770651 32.2
"28" "Anyksciai" 2009 38 3.07998647543473 2.92161901314996 3.71481413994169 4.28984207516161 4.99154518950437 32.2
"29" "Anyksciai" 2010 38 3.40099919779767 3.23870189407649 3.95453717201166 4.53338678098629 5.24584548104956 32.2
"30" "Anyksciai" 2011 38 3.27118852094617 3.10875859572928 3.94631013119534 4.61302113583994 5.36319241982507 32.2
"31" "Anyksciai" 2012 38 3.34969605295498 3.17513572204126 3.98371598639456 4.63128886637581 5.3850583090379 32.2
"32" "Anyksciai" 2013 38 3.33793604661589 3.07205935577271 3.97928206997085 4.66058066176256 5.43025996112731 32.4
"33" "Anyksciai" 2014 38 3.22297760015872 3.04468572807335 3.88169339164237 4.50271865582443 5.23825315840622 32.6
"34" "Birstonas" 2004 11 2.27438757770008 2.1825 2.6309375 2.97687499761581 3.5225 46.5
"35" "Birstonas" 2005 11 2.61467613636364 2.4825 3.1928125 3.54875000476837 4.08875 46.6
"36" "Birstonas" 2006 11 2.31052141608392 2.10125 2.891875 3.45862500667572 4.25375 46.5
"37" "Birstonas" 2007 11 2.67749023892774 2.5025 3.2290625 3.65962499141693 4.285 46.5
"38" "Birstonas" 2008 11 2.46913607226107 2.385 2.905625 3.32387500047684 3.8925 46.5
"39" "Birstonas" 2009 11 2.52623615967366 2.4275 3.006875 3.44137498140335 4.00375 46.5
"40" "Birstonas" 2010 11 2.74794871794872 2.7225 3.301875 3.66674998760223 4.19375 46.5
"41" "Birstonas" 2011 11 2.76377258158508 2.69625 3.3046875 3.83499997138977 4.3925 46.5
"42" "Birstonas" 2012 11 2.81067526223776 2.81625 3.32375 3.79774998903275 4.35125 46.5
"43" "Birstonas" 2013 11 2.83772435897436 2.70625 3.38625 3.99087500572205 4.6675 46
"44" "Birstonas" 2014 11 2.807974504662 2.76125 3.3803125 3.95649999141693 4.59 47.1
"45" "Birzai" 2004 27 3.05925401647892 2.8547254987622 3.5501278678942 4.16493204831206 4.97264357737834 26.3
"46" "Birzai" 2005 27 3.0721131017569 2.8317751565458 3.77784232061961 4.39924302476724 5.11511033172585 26.3
"47" "Birzai" 2006 27 2.52481066013727 2.35494393476045 3.09064372351308 3.64767791412735 4.29028204004092 26.3
"48" "Birzai" 2007 27 3.0508312566434 2.82672200378622 3.66379511909981 4.3051147159073 5.08420283501388 27.6
"49" "Birzai" 2008 27 2.76313135794175 2.60811125673511 3.29391348823615 3.81512640146559 4.45652491597253 27.2
"50" "Birzai" 2009 27 2.96654402691338 2.79279161205767 3.5213904720152 4.1300350693292 4.85415753324565 27.2
"51" "Birzai" 2010 27 3.23139514402009 2.96034658511723 3.85745652491597 4.52451994497491 5.24483413707438 27.2
"52" "Birzai" 2011 27 3.00135548094557 2.76678316586573 3.62002045886307 4.25899020609897 4.99948852842321 27.1
"53" "Birzai" 2012 27 3.15995523709246 2.93455657492355 3.74500949875785 4.4299006268798 5.20511471576794 27.1
"54" "Birzai" 2013 27 3.10378340581431 2.76723460026212 3.77524477568318 4.48961128180232 5.33302645038726 27.1
"55" "Birzai" 2014 27 3.17544319799252 2.89587884083297 3.92513517463101 4.65072775025056 5.39970773052755 27.2
"56" "Druskininkai" 2004 8 2.08423871582962 1.83191489361702 2.42897727272727 2.71943181861531 3.51477272727273 69.2
"57" "Druskininkai" 2005 8 2.31439645581691 2.05531914893617 2.65255681818182 2.97852272553877 3.60568181818182 69.2
"58" "Druskininkai" 2006 8 2.22547533905488 2.05 2.56590909090909 2.83272726102309 3.52386363636364 69.2
"59" "Druskininkai" 2007 8 2.36055877834287 2.13404255319149 2.675 3.00284089608626 3.58522727272727 69.2
"60" "Druskininkai" 2008 8 2.15572539203221 1.94148936170213 2.43409090909091 2.8123863436959 3.58409090909091 69.2
"61" "Druskininkai" 2009 8 2.33462068234796 2.12553191489362 2.71903409090909 3.05522725148634 3.62727272727273 69.2
"62" "Druskininkai" 2010 8 2.53268740728968 2.29468085106383 2.88380681818182 3.29306817271493 3.93295454545455 69.2
"63" "Druskininkai" 2011 8 2.45090260118669 2.21808510638298 2.73267045454545 3.17954544587569 3.89659090909091 68.7
"64" "Druskininkai" 2012 8 2.42521124708625 2.13829787234043 2.74005681818182 3.32397726232355 4.20340909090909 69.1
"65" "Druskininkai" 2013 8 2.56214174083492 2.3531914893617 2.91732954545455 3.31147726665844 3.82159090909091 69
"66" "Druskininkai" 2014 8 2.42735590167408 2.17553191489362 2.80284090909091 3.22306817661632 3.99886363636364 69.1
"67" "Ignalina" 2004 39 3.0507188900485 2.76256067961165 3.68972865123703 4.25465602413522 4.94927374301676 35.5
"68" "Ignalina" 2005 39 3.30411074431465 3.00838895631068 4.14307262569832 4.82727852564855 5.47926576217079 35.5
"69" "Ignalina" 2006 39 2.87960771816638 2.63871359223301 3.57749800478851 4.17904229190001 4.83470071827614 35.5
"70" "Ignalina" 2007 39 3.21696143583294 2.92534890776699 3.84717478052674 4.4948220261363 5.27090183559457 35.5
"71" "Ignalina" 2008 39 2.87962043494326 2.5442354368932 3.52073423782921 4.14347325933902 4.86523543495611 35.5
"72" "Ignalina" 2009 39 3.05857453502426 2.85013652912621 3.74048284118116 4.28760574377354 4.96394253790902 37.5
"73" "Ignalina" 2010 39 3.48074080448402 3.19497876213592 4.01254388764762 4.58040376180587 5.26631024577083 36
"74" "Ignalina" 2011 39 3.37447469551763 3.07478762135922 4.0621129907437 4.7801308611959 5.49838812639643 36
"75" "Ignalina" 2012 39 3.38901506493471 3.09981796116505 4.06455872965209 4.66995850501257 5.35654324928184 36
"76" "Ignalina" 2013 39 3.35473208171939 2.97049453883495 4.00830274497287 4.72101819638509 5.50400574529205 36
"77" "Ignalina" 2014 39 3.23660707749002 2.9590109223301 3.84465767634855 4.4503798225913 5.16879987232684 36.3
"78" "Jonava" 2004 12 2.80409593730823 2.52923289564616 3.42889263304671 4.04232396024508 4.79502672554032 41.8
"79" "Jonava" 2005 12 3.16503946965834 2.85072563925363 3.94460260283523 4.58237509062588 5.27455263769463 41.9
"80" "Jonava" 2006 12 2.68767356994234 2.43289564616448 3.38794445735533 3.99636532514006 4.68178015338136 41.9
"81" "Jonava" 2007 12 3.07809152424769 2.76017046763419 3.81747036950964 4.5551010907098 5.28961189867534 41.9
"82" "Jonava" 2008 12 2.99260495811158 2.75049527758581 3.65162677201952 4.30427840507892 5.03899604926795 41.9
"83" "Jonava" 2009 12 3.01021954773349 2.78723796360286 3.72829421333953 4.32999070378312 5.01238670694864 41.9
"84" "Jonava" 2010 12 3.34875610958383 3.12052522460263 4.03614079925651 4.66175418506103 5.35190520446097 41.9
"85" "Jonava" 2011 12 3.16984602171115 3.00218843584428 3.8604844330855 4.47532759864977 5.16289498141264 41.9
"86" "Jonava" 2012 12 3.35096811361914 3.12328956461645 4.11941217472119 4.78976533605707 5.51277881040892 41.8
"87" "Jonava" 2013 12 3.3202450024418 3.04750057590417 4.03469447026022 4.75929832323333 5.50462360594796 41.8
"88" "Jonava" 2014 12 3.35248540686389 3.12948629348076 4.165625 4.81710269481055 5.48280669144981 41.8
"89" "Joniskis" 2004 3 2.57211627939743 2.18823201338539 3.18281337306761 4.0258409376672 4.96669770907059 18.4
"90" "Joniskis" 2005 3 2.66199418392704 2.20669269380926 3.48679921773142 4.36321102321026 5.19707580555038 18.5
"91" "Joniskis" 2006 3 2.30220972023775 1.75359732292248 3.1097737008754 4.00750232658521 4.79428198919724 20.2
"92" "Joniskis" 2007 3 2.757281641911 2.20951849786206 3.52726299124604 4.58173030409917 5.44445893089961 20
"93" "Joniskis" 2008 3 2.5838014063191 2.11833054471091 3.38622182901844 4.2686869057847 5.10759918048054 20
"94" "Joniskis" 2009 3 2.45049179721791 2.0498233872467 3.01977090705904 3.86194077010571 4.84974855652822 20
"95" "Joniskis" 2010 3 2.97103810817398 2.54692321992936 3.97334699199106 4.83419444758614 5.66045818588191 20
"96" "Joniskis" 2011 3 2.65619637393711 2.1895519613311 3.5263829390948 4.39517042268741 5.25000931272118 20.1
"97" "Joniskis" 2012 3 2.98098752776579 2.50492656627626 3.95923821940771 4.85159806187403 5.61240454460793 20.2
"98" "Joniskis" 2013 3 2.86568628087626 2.15415504740658 3.90932669025889 4.89580368826034 5.68631029986962 20.2
"99" "Joniskis" 2014 3 3.09535515983365 2.62119353039598 4.28261780592289 5.0919947864357 5.79707580555038 20.2
