"ID" "Year" "LAI_Max" "Municipality"
"Kelme.2004" 4 2004 4.92219480519481 "Kelme"
"Pakruojis.2004" 5 2004 4.89259440902403 "Pakruojis"
"Radviliskis.2004" 6 2004 4.73296940288449 "Radviliskis"
"Alytus.2004" 7 2004 4.65304489554008 "Alytus"
"Druskininkai.2004" 8 2004 3.51477272727273 "Druskininkai"
"Lazdijai.2004" 9 2004 4.07198180815877 "Lazdijai"
"Varena.2004" 10 2004 4.28069628474929 "Varena"
"Birstonas.2004" 11 2004 3.5225 "Birstonas"
"Jonava.2004" 12 2004 4.79502672554032 "Jonava"
"Kedainiai.2004" 13 2004 4.88104686072314 "Kedainiai"
"Kaisiadorys.2004" 14 2004 4.85855457227139 "Kaisiadorys"
"Kaunas.2004" 15 2004 4.68611381661333 "Kaunas"
"Prienai.2004" 16 2004 4.7506006006006 "Prienai"
"Raseiniai.2004" 17 2004 4.69340782122905 "Raseiniai"
"Silute.2004" 18 2004 4.81320624712908 "Silute"
"Klaipeda.2004" 19 2004 4.32843270868825 "Klaipeda"
"Kretinga.2004" 20 2004 4.60809324829558 "Kretinga"
"Neringa.2004" 21 2004 2.96809523809524 "Neringa"
"Palanga.2004" 22 2004 4.32279202279202 "Palanga"
"Skuodas.2004" 23 2004 4.68192962542565 "Skuodas"
"Sakiai.2004" 24 2004 5.04267151040939 "Sakiai"
"Marijampole.2004" 25 2004 4.78436069986541 "Marijampole"
"Vilkaviskis.2004" 26 2004 4.93573988735279 "Vilkaviskis"
"Birzai.2004" 27 2004 4.97264357737834 "Birzai"
"Kupiskis.2004" 28 2004 4.85888487765744 "Kupiskis"
"Panevezys.2004" 29 2004 4.65760428019419 "Panevezys"
"Pasvalys.2004" 30 2004 4.93699227928835 "Pasvalys"
"Rokiskis.2004" 31 2004 4.92663341039056 "Rokiskis"
"Silale.2004" 32 2004 5.2790359168242 "Silale"
"Jurbarkas.2004" 33 2004 4.9508111988514 "Jurbarkas"
"Taurage.2004" 34 2004 5.06231536189069 "Taurage"
"Mazeikiai.2004" 35 2004 4.53348281016442 "Mazeikiai"
